B,0,559520374015734,1000000000,11:25:20:22.440,0
V,0,559520374015734,1000000000,11:25:20:22.440,0
A,0,559520374015734,1000000000,11:25:20:22.440,0
B,1,559520390708560,1000000000,11:25:20:23.442,0
V,1,559520390708560,1000000000,11:25:20:23.442,0
B,2,559520407408350,1000000000,11:25:20:24.444,0
V,2,559520407408350,1000000000,11:25:20:24.444,0
B,3,559520424108683,1000000000,11:25:20:25.446,0
V,3,559520424108683,1000000000,11:25:20:25.446,0
B,4,559520440801507,1000000000,11:25:20:26.448,0
V,4,559520440801507,1000000000,11:25:20:26.448,0
B,5,559520457491464,1000000000,11:25:20:27.449,0
V,5,559520457491464,1000000000,11:25:20:27.449,0
B,6,559520474193130,1000000000,11:25:20:28.451,0
V,6,559520474193130,1000000000,11:25:20:28.451,0
B,7,559520490879795,1000000000,11:25:20:29.452,0
V,7,559520490879795,1000000000,11:25:20:29.452,0
B,8,559520507572661,1000000000,11:25:20:30.454,0
V,8,559520507572661,1000000000,11:25:20:30.454,0
B,9,559520524273575,1000000000,11:25:20:31.456,0
V,9,559520524273575,1000000000,11:25:20:31.456,0
B,10,559520540955366,1000000000,11:25:20:32.457,0
V,10,559520540955366,1000000000,11:25:20:32.457,0
B,11,559520557656324,1000000000,11:25:20:33.459,0
V,11,559520557656324,1000000000,11:25:20:33.459,0
B,12,559520574349107,1000000000,11:25:20:34.460,0
V,12,559520574349107,1000000000,11:25:20:34.460,0
B,13,559520591030313,1000000000,11:25:20:35.461,0
V,13,559520591030313,1000000000,11:25:20:35.461,0
B,14,559520607729186,1000000000,11:25:20:36.463,0
V,14,559520607729186,1000000000,11:25:20:36.463,0
B,15,559520624422012,1000000000,11:25:20:37.465,0
V,15,559520624422012,1000000000,11:25:20:37.465,0
B,16,559520641108941,1000000000,11:25:20:38.466,0
V,16,559520641108941,1000000000,11:25:20:38.466,0
B,17,559520657820612,1000000000,11:25:20:39.469,0
V,17,559520657820612,1000000000,11:25:20:39.469,0
B,18,559520674510660,1000000000,11:25:20:40.470,0
V,18,559520674510660,1000000000,11:25:20:40.470,0
B,19,559520691203383,1000000000,11:25:20:41.472,0
V,19,559520691203383,1000000000,11:25:20:41.472,0
B,20,559520707890513,1000000000,11:25:20:42.473,0
V,20,559520707890513,1000000000,11:25:20:42.473,0
B,21,559520724589395,1000000000,11:25:20:43.475,0
V,21,559520724589395,1000000000,11:25:20:43.475,0
B,22,559520741286109,1000000000,11:25:20:44.477,0
V,22,559520741286109,1000000000,11:25:20:44.477,0
B,23,559520757978955,1000000000,11:25:20:45.478,0
V,23,559520757978955,1000000000,11:25:20:45.478,0
B,24,559520774657380,1000000000,11:25:20:46.479,0
V,24,559520774657380,1000000000,11:25:20:46.479,0
B,25,559520791350759,1000000000,11:25:20:47.481,0
V,25,559520791350759,1000000000,11:25:20:47.481,0
B,26,559520808043522,1000000000,11:25:20:48.482,0
V,26,559520808043522,1000000000,11:25:20:48.482,0
B,27,559520824733822,1000000000,11:25:20:49.484,0
V,27,559520824733822,1000000000,11:25:20:49.484,0
B,28,559520841431451,1000000000,11:25:20:50.485,0
V,28,559520841431451,1000000000,11:25:20:50.485,0
B,29,559520858128667,1000000000,11:25:20:51.487,0
V,29,559520858128667,1000000000,11:25:20:51.487,0
B,30,559520874821472,1000000000,11:25:20:52.489,0
